smiles,id-num,vina_affinity,boltz_affinity_kcalmol,avg_affinity_pred_value,avg_affinity_probability_binary,combined_score
C1CCC(COc2c3c(nc[nH]3)nc(Nc3ccccc3)n2)CC1,0,-9.723,9.070275767246882,-0.6497622927029928,0.8011776010195414,-9.396637883623441
c1ccc(CNc2nc(Nc3cc(C4CC4)[nH]n3)c3sccc3n2)cc1,25,-9.314,9.088149246136348,-0.6628660162289938,0.7221704920132955,-9.201074623068173
COc1ccc(Nc2nc(NCc3cccnc3)nc3[nH]ncc23)cc1,269,-9.008,8.851197900295258,-0.4891480207443237,0.5937319000562032,-8.929598950147628
Cn1ncc2c(Nc3cc(Cl)ccc3O)nc(NCCCNC=O)nc21,50,-8.79,9.054087544202805,-0.6378940939903259,0.4501869777838389,-8.922043772101402
NC(=O)c1ccc(Nc2nc(NCC3CCCO3)c3ccccc3n2)cc1,33,-9.701,7.928585650086403,0.1872539222240448,0.4105342626571655,-8.814792825043202
Clc1ccc(Nc2nc(NCCC3=CCCCC3)nc3[nH]cnc23)cc1,125,-9.762,7.752511620002489,0.3163404545436303,0.5516125162442526,-8.757255810001244
Cc1ccc(Nc2nc(NCCc3ccccc3)nc3nccnc23)cc1,174,-9.97,7.465778220519424,0.5265555568039417,0.4659209946791331,-8.717889110259712
CCCCNc1nc(Nc2cc(Cl)ccc2O)c2cnn(C)c2n1,56,-8.543,8.81189699604114,-0.460335041085879,0.402390311161677,-8.67744849802057
CC(C)CCNc1nc(Nc2ccc(F)cc2Cl)c2cnn(C)c2n1,116,-9.512,7.841735245108605,0.2509272396564483,0.2254342089096705,-8.676867622554303
CCCCNc1nc(Nc2ccc3nc[nH]c3c2)c2cnn(C)c2n1,27,-8.705,8.642883613864582,-0.3364249368508656,0.2681216249863307,-8.67394180693229
COCCNc1nc(Nc2cc(Cl)ccc2O)c2cnn(C)c2n1,259,-8.291,8.95132203245163,-0.562552809715271,0.3049994607766469,-8.621161016225816
CC(=O)c1cccc(Nc2nc(NCC3CCCO3)c3ccccc3n2)c1,186,-9.876,7.342008025209109,0.617296169201533,0.4391423761844635,-8.609004012604554
CN(C)CCNc1nc(Nc2cccc(Br)c2)c2cnn(C)c2n1,215,-8.345,8.871987785617511,-0.5043898721536001,0.3481370906035105,-8.608493892808756
Cc1ccc(Nc2cc(C)nc(N(C)CCc3ccncc3)n2)cc1,198,-9.346,7.868017293214798,0.2316588759422302,0.4152587006489436,-8.6070086466074
CN(C)CCNc1nc(Nc2cccc(Cl)c2)c2cnn(C)c2n1,231,-8.529,8.670271609425546,-0.3565041124820709,0.3007130126158396,-8.599635804712772
OCCN1CCN(Nc2nc(Nc3ccccc3)c3nccnc3n2)CC1,193,-9.13,8.067922996878625,0.0851004421710968,0.6007594068845113,-8.598961498439312
CCc1ccc(Nc2nc(NCCO)nc3c2ncn3C)cc1,226,-8.315,8.881012004653613,-0.5110058685143789,0.7307465076446533,-8.598006002326805
OCCCNc1nc(Nc2ccc(O)cc2)nc2ccccc12,9,-8.829,8.34776473372678,-0.1200621215005715,0.5655265053113302,-8.58838236686339
Cc1cccc(Nc2nc(NCCN3CCOCC3)nc3c2cnn3C)c1C,45,-9.738,7.437216321945191,0.5474953651428223,0.1643263747294744,-8.587608160972595
Cc1ccc(C)c(Nc2nc(NCCN(C)C)nc3nccnc23)c1,100,-9.159,7.994184412052235,0.1391609882315,0.5781622529029846,-8.576592206026117
Cc1cc(O)ccc1Nc1nc(NCCC(C)C)nc2c1cnn2C,202,-9.506,7.627299230098725,0.4081383943557739,0.2078896115223566,-8.566649615049363
OCCCNc1nc(Nc2ccncc2)nc2ccccc12,139,-8.764,8.334071616704266,-0.110023179401954,0.5194802284240723,-8.549035808352134
Cc1ccc(Nc2nc(NCCN3CCOCC3)nc3[nH]nnc23)cc1,126,-8.861,8.200929252147676,-0.0124114751815795,0.7165167530377706,-8.530964626073839
COC(=O)c1ccc(CNc2nc(Nc3ccc(C)cc3O)c3cnn(C)c3n2)cc1,214,-9.538,7.52312923459212,0.4845093588034312,0.2694391359885533,-8.53056461729606
CN(C)CCNc1nc(Nc2ccc(F)cc2)c2nccnc2n1,221,-8.564,8.49078031718731,-0.2249122560024261,0.6083670854568481,-8.527390158593654
CC(=O)NCCNc1nc(Nc2ccccc2C)c2cnn(C)c2n1,67,-9.429,7.621281878113747,0.4125499427318573,0.1897908796866735,-8.525140939056874
CCCCNc1nc(Nc2cc(C)ccc2O)c2cnn(C)c2n1,55,-8.451,8.597207852885127,-0.3029383085668087,0.2710583209991455,-8.524103926442564
OCCOCCNc1nc(-c2ccncc2)cc2cnccc12,210,-7.572,9.475912345170975,-0.9471498131752014,0.6208117604255676,-8.523956172585487
OCCCNc1nc(Nc2ccccc2O)nc2ccccc12,11,-8.898,8.142579297631979,0.0303670838475227,0.4318223694960276,-8.52028964881599
Cc1ccc(C)c(Nc2nc(NCCN3CCOCC3)nc3nccnc23)c1,197,-9.741,7.288768360535304,0.6563281814257304,0.2384419590234756,-8.514884180267652
CN(C)CCNc1nc(Nc2ccc(F)c(F)c2F)c2cnn(C)c2n1,87,-8.894,8.112088798254728,0.0527208223938941,0.1947297900915146,-8.503044399127365
CC(C)CCNc1nc(Nc2ccc3c(c2)OCO3)c2cnn(C)c2n1,229,-9.097,7.8693804829716685,0.23065946996212,0.2668120265007019,-8.483190241485834
COCCCNc1nc(-c2ccc(Cl)cc2)cc2ncccc12,61,-8.329,8.59942009840409,-0.3045601894458135,0.3424543440341949,-8.464210049202045
Cc1ccc(Nc2nc(NCc3ccccc3)nc(N3CC(O)C3)n2)cc1F,228,-9.576,7.330110733032227,0.6260185241699219,0.1446496099233627,-8.453055366516114
CCOC(=O)C1CCCN(c2nc(Nc3ccc(CC)cc3)c3cnn(C)c3n2)C1,192,-9.316,7.57202300910155,0.4486634830633799,0.2075421661138534,-8.444011504550776
COc1ccc(CNc2nc(Nc3cc(F)ccc3F)c3cnn(C)c3n2)cc1,223,-9.942,6.9216106348037725,0.9255053997039796,0.0875037238001823,-8.431805317401887
COc1ccc(Nc2nc(NCCO)nc3c2ncn3C)cc1,175,-7.898,8.965378197908402,-0.5728579163551331,0.7824817697207133,-8.431689098954202
Cn1ncc2c(Nc3ccc(F)cc3)nc(NCCCNC=O)nc21,196,-8.459,8.385010031878949,-0.1473680585622787,0.3135968695084254,-8.422005015939474
Cc1ccc(Nc2nc(NCCN(C)C)nc3nccnc23)cc1,124,-8.472,8.361985243539015,-0.1304877152045568,0.6774588624636332,-8.416992621769507
COCCNc1nc(Nc2ccc(C)c(C)c2)c2nccnc2n1,44,-8.699,8.125817728251219,0.042655624449253,0.5027989745140076,-8.41240886412561
Cc1cc(Cl)ccc1Nc1nc(NCCN2CCOCC2)nc2nccnc12,79,-9.319,7.430342859665552,0.5525345603624979,0.2349340071280797,-8.374671429832777
Cn1ncc2c(Nc3ccc(Cl)cc3)nc(NCCCNC=O)nc21,163,-8.566,8.166704772591592,0.012679785490036,0.3509472360213597,-8.366352386295796
COc1ccc(CNc2nc(Nc3cccc4ccccc34)c3cnn(C)c3n2)cc1,46,-10.47,6.254781948248546,1.414382735888163,0.2536323616902033,-8.362390974124274
COc1ccc(CNc2nc(Nc3cc(C)c(Cl)cc3OC)c3cnn(C)c3n2)cc1,284,-9.636,7.078506718238196,0.810478945573171,0.1695581426223119,-8.357253359119097
Cc1ccc(CNc2nc(Nc3ccc4c(c3)OCCO4)nc(N(C)C)n2)cc1,253,-9.906,6.784902011791865,1.02573166290919,0.2380884935458501,-8.345451005895933
COCCCNc1nc(Nc2cc(C)c(C)cc2Br)c2cnn(C)c2n1,134,-8.54,8.139980245232582,0.0322725474834442,0.1627257118622462,-8.33999012261629
CCCCNc1nc(Nc2ccc3cn[nH]c3c2)c2cnn(C)c2n1,159,-8.594,8.070436600511274,0.0832576242585976,0.1859625279903412,-8.332218300255636
Cc1ccc(Nc2nc(NCCN(C)C)nc3nccnc23)c(C)c1,52,-9.032,7.620605577945709,0.4130457639694214,0.5181369086106619,-8.326302788972855
CCc1ccc(Nc2nc(NCC(C)O)nc3c2cnn3C)cc1,286,-8.842,7.807696375131608,0.2758824229240417,0.2103188782930374,-8.324848187565804
CCc1ccc(Nc2nc(NCCO)c3ccccc3n2)cc1,20,-8.876,7.769429812709491,0.3039370874563853,0.3987788657347361,-8.322714906354745
CC(=O)NCCNc1nc(Nc2ccc(C)cc2Br)c2cnn(C)c2n1,68,-8.914,7.726588986357054,0.335345317920049,0.2462175786495208,-8.320294493178526
O=C(O)CCCCNc1nc(-c2ccc(Cl)cc2)nc2c1CCC2,216,-9.101,7.536525210976601,0.4746882617473602,0.1104526668787002,-8.3187626054883
Cc1cc(O)ccc1Nc1nc(NCCOC(C)C)nc2c1cnn2C,225,-8.887,7.738768642763297,0.3264159510533015,0.229609340429306,-8.312884321381649
CC(C)CCNc1nc(Nc2ccccc2Br)c2cnn(C)c2n1,58,-8.923,7.66126952290535,0.3832334876060486,0.2856717606385549,-8.292134761452676
CCCCNc1nc(Nc2ccc(F)cc2F)c2cnn(C)c2n1,275,-8.796,7.777429263075193,0.2980723877747853,0.2032228410243988,-8.286714631537595
Cc1ccc(Nc2nc(NCc3ccccc3)nc(N3CC(O)C3)n2)cc1,235,-9.44,7.1260917135079715,0.775592585404714,0.194379448890686,-8.283045856753986
